model_label,scenario,runtime,execution,temperature,group_type,group_value,runs,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,ttft_warm_mean_ms,ttft_warm_std_ms,ttft_cold_mean_ms,ttft_cold_std_ms,tgs_mean_tok_s,tgs_std_tok_s,prompt_eval_throughput_mean_tok_s,prompt_eval_throughput_std_tok_s,load_time_mean_ms,load_time_std_ms,wall_time_mean_s,wall_time_std_s,accuracy_mean,accuracy_correct,accuracy_total,exact_match_mean,exact_match_correct,exact_match_total
qwen05,baseline_cpu_final_temp_07,llama.cpp/llama-completion,CPU,0.7,global,all,45,6606.18,4367.047,3414.88,24680.18,4000.618,826.674,6373.221,8541.313,7.526,0.15,11.441,0.054,2372.602,8598.658,10.739,9.284,0.727,24,33,0.455,15,33
qwen05,baseline_cpu_final_temp_07,llama.cpp/llama-completion,CPU,0.7,task_type,closed,24,4518.686,805.254,3414.88,5478.09,4420.313,837.938,7908.483,11579.723,7.495,0.173,11.458,0.047,3488.17,11775.449,9.776,11.69,0.75,18,24,0.625,15,24
qwen05,baseline_cpu_final_temp_07,llama.cpp/llama-completion,CPU,0.7,task_type,structured,9,7244.744,2062.341,5993.09,11578.9,3801.24,643.579,4888.392,631.798,7.627,0.054,11.439,0.04,1087.151,27.049,10.066,2.025,0.667,6,9,0.0,0,9
qwen05,baseline_cpu_final_temp_07,llama.cpp/llama-completion,CPU,0.7,task_type,discursive,12,10302.244,6862.313,5485.92,24680.18,3310.762,167.979,4416.317,178.241,7.512,0.121,11.407,0.064,1105.555,25.464,13.167,6.874,,,,,,
qwen05,baseline_cpu_final_temp_07,llama.cpp/llama-completion,CPU,0.7,prompt_id,arith_001,3,3492.997,17.464,3482.68,3513.16,3353.623,10.182,23649.227,33331.615,7.393,0.367,11.493,0.012,20295.603,33321.433,25.663,33.656,1.0,3,3,1.0,3,3
qwen05,baseline_cpu_final_temp_07,llama.cpp/llama-completion,CPU,0.7,prompt_id,arith_002,3,3427.8,13.801,3414.88,3442.34,3288.508,9.812,4372.372,30.018,7.47,0.269,11.413,0.025,1083.863,28.533,6.255,0.018,0.667,2,3,0.667,2,3
qwen05,baseline_cpu_final_temp_07,llama.cpp/llama-completion,CPU,0.7,prompt_id,arith_003,3,3604.87,16.211,3591.11,3622.74,3465.615,18.52,4523.088,27.51,7.387,0.239,11.413,0.072,1057.473,18.376,6.382,0.044,1.0,3,3,1.0,3,3
qwen05,baseline_cpu_final_temp_07,llama.cpp/llama-completion,CPU,0.7,prompt_id,mcq_001,3,5108.6,5.977,5103.23,5115.04,5105.607,5.889,6211.437,28.973,7.447,0.006,11.467,0.015,1105.83,25.745,7.96,0.077,0.333,1,3,0.333,1,3
qwen05,baseline_cpu_final_temp_07,llama.cpp/llama-completion,CPU,0.7,prompt_id,mcq_002,3,5101.85,18.987,5089.27,5123.69,5098.887,18.882,6157.76,41.85,7.53,0.053,11.48,0.044,1058.873,44.964,7.898,0.052,1.0,3,3,1.0,3,3
qwen05,baseline_cpu_final_temp_07,llama.cpp/llama-completion,CPU,0.7,prompt_id,json_001,3,6001.81,8.093,5993.09,6009.08,3371.212,2.436,4469.959,21.455,7.667,0.025,11.42,0.01,1098.747,23.89,8.846,0.031,1.0,3,3,0.0,0,3
qwen05,baseline_cpu_final_temp_07,llama.cpp/llama-completion,CPU,0.7,prompt_id,json_002,3,6060.633,91.441,6007.72,6166.22,3373.224,3.439,4465.331,27.872,7.633,0.047,11.413,0.012,1092.107,25.432,8.894,0.031,1.0,3,3,0.0,0,3
qwen05,baseline_cpu_final_temp_07,llama.cpp/llama-completion,CPU,0.7,prompt_id,json_003,3,9671.79,1936.036,7708.07,11578.9,4659.285,14.649,5729.885,46.592,7.58,0.056,11.483,0.04,1070.6,32.553,12.459,1.876,0.0,0,3,0.0,0,3
